gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
ITGAM,ENSG00000169896,1.642,1.623,0.02,7659,0.817,0.0,0.2605042014617612,1343
OR1S2,ENSG00000197887,-9.966,-9.966,0.0,11,0.0,0.0,0.2605042014617612,1344
OR52E1,ENSG00000273085,-9.966,-9.966,0.0,2,0.0,0.0,0.2605042014617612,1345
OR1A1,ENSG00000172146,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1346
IL17RA,ENSG00000177663,2.266,2.296,-0.03,7835,0.991,-0.0,0.2605042014617612,1347
OTOP2,ENSG00000183034,-9.966,-9.966,0.0,1136,0.014,0.0,0.2605042014617612,1348
CHRM5,ENSG00000184984,-4.608,-3.458,-1.15,3038,0.017,-0.0,0.2605042014617612,1349
GRM1,ENSG00000152822,-5.574,-5.574,0.0,1689,0.038,0.0,0.2605042014617612,1350
SLC18A3,ENSG00000187714,-9.966,-9.966,0.0,1208,0.065,0.0,0.2605042014617612,1351
CD160,ENSG00000117281,-2.114,-1.685,-0.43,6079,0.082,-0.0,0.2605042014617612,1352
OR9K2,ENSG00000170605,-9.966,-9.966,0.0,21,0.0,0.0,0.2605042014617612,1353
KLRF2,ENSG00000256797,-9.966,-9.966,0.0,406,0.007,0.0,0.2605042014617612,1354
OR13D1,ENSG00000179055,-9.966,-9.966,0.0,159,0.0,0.0,0.2605042014617612,1355
OR2B2,ENSG00000168131,-9.966,-9.966,0.0,46,0.0,0.0,0.2605042014617612,1356
AREG,ENSG00000109321,1.977,1.953,0.02,6983,0.712,0.0,0.2605042014617612,1357
PTCHD3,ENSG00000182077,-9.966,-9.966,0.0,988,0.016,0.0,0.2605042014617612,1358
MPL,ENSG00000117400,-4.293,-3.626,-0.67,2454,0.001,-0.0,0.2605042014617612,1359
SLC13A1,ENSG00000081800,-9.966,-9.966,0.0,187,0.067,0.0,0.2605042014617612,1360
OR51I1,ENSG00000167359,-9.966,-9.966,0.0,340,0.001,0.0,0.2605042014617612,1361
TAS2R3,ENSG00000127362,-9.966,-4.293,-5.67,2018,0.003,-0.0,0.2605042014617612,1362
OR5AK2,ENSG00000181273,-9.966,-9.966,0.0,179,0.0,0.0,0.2605042014617612,1363
OR2A14,ENSG00000221938,-9.966,-9.966,0.0,306,0.0,0.0,0.2605042014617612,1364
SLC15A5,ENSG00000188991,-9.966,-9.966,0.0,294,0.001,0.0,0.2605042014617612,1365
CHRM4,ENSG00000180720,-3.308,-3.047,-0.26,3956,0.085,-0.0,0.2605042014617612,1366
OR4N2,ENSG00000176294,-9.966,-9.966,0.0,327,0.03,0.0,0.2605042014617612,1367
OR4B1,ENSG00000175619,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1368
IZUMO3,ENSG00000205442,-9.966,-9.966,0.0,208,0.001,0.0,0.2605042014617612,1369
OR12D2,ENSG00000280236,-9.966,-9.966,0.0,79,0.003,0.0,0.2605042014617612,1370
OR1J1,ENSG00000136834,-9.966,-9.966,0.0,345,0.0,0.0,0.2605042014617612,1371
OR9G4,ENSG00000172457,-9.966,-9.966,0.0,43,0.0,0.0,0.2605042014617612,1372
CLDN24,ENSG00000185758,-9.966,-9.966,0.0,1221,0.019,0.0,0.2605042014617612,1373
MCHR2,ENSG00000152034,-9.966,-9.966,0.0,606,0.01,0.0,0.2605042014617612,1374
OR2T11,ENSG00000279301,-9.966,-9.966,0.0,43,0.0,0.0,0.2605042014617612,1375
KLRK1,ENSG00000213809,0.67,0.642,0.03,7524,0.642,0.0,0.2605042014617612,1376
TAAR2,ENSG00000146378,-9.966,-9.966,0.0,22,0.0,0.0,0.2605042014617612,1377
NCR1,ENSG00000189430,-3.458,-4.035,0.58,2515,0.038,0.0,0.2605042014617612,1378
OR2A4,ENSG00000180658,-9.966,-9.966,0.0,939,0.04,0.0,0.2605042014617612,1379
OR2V2,ENSG00000182613,-9.966,-9.966,0.0,58,0.0,0.0,0.2605042014617612,1380
OR4S1,ENSG00000176555,-9.966,-9.966,0.0,11,0.0,0.0,0.2605042014617612,1381
ADAM20,ENSG00000134007,-5.012,-3.816,-1.2,2414,0.001,-0.0,0.2605042014617612,1382
OR2B11,ENSG00000177535,-9.966,-9.966,0.0,313,0.0,0.0,0.2605042014617612,1383
OR51Q1,ENSG00000167360,-9.966,-9.966,0.0,178,0.0,0.0,0.2605042014617612,1384
CXCR2,ENSG00000180871,-2.114,-1.938,-0.18,5246,0.16,-0.0,0.2605042014617612,1385
AMIGO3,ENSG00000176020,-9.966,-9.966,0.0,3040,0.095,0.0,0.2605042014617612,1386
OR7E24,ENSG00000237521,-9.966,-9.966,0.0,166,0.009,0.0,0.2605042014617612,1387
OR51V1,ENSG00000176742,-9.966,-9.966,0.0,28,0.0,0.0,0.2605042014617612,1388
OR5B17,ENSG00000197786,-9.966,-9.966,0.0,6,0.0,0.0,0.2605042014617612,1389
OR1E2,ENSG00000127780,-9.966,-9.966,0.0,107,0.0,0.0,0.2605042014617612,1390
OR2H2,ENSG00000204657,-6.506,-3.816,-2.69,3104,0.006,-0.0,0.2605042014617612,1391
OR10X1,ENSG00000279111,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1392
OR8I2,ENSG00000172154,-9.966,-9.966,0.0,15,0.0,0.0,0.2605042014617612,1393
OR51G2,ENSG00000176893,-9.966,-9.966,0.0,16,0.0,0.0,0.2605042014617612,1394
ASIC5,ENSG00000256394,-9.966,-9.966,0.0,15,0.001,0.0,0.2605042014617612,1395
OR5AS1,ENSG00000181785,-9.966,-9.966,0.0,6,0.0,0.0,0.2605042014617612,1396
OR2T8,ENSG00000177462,-9.966,-9.966,0.0,1364,0.003,0.0,0.2605042014617612,1397
INSR,ENSG00000171105,3.383,3.377,0.01,7820,0.994,0.0,0.2605042014617612,1398
OR2A1,ENSG00000221970,-4.035,-2.466,-1.57,4490,0.014,-0.0,0.2605042014617612,1399
SLC17A6,ENSG00000091664,-9.966,-9.966,0.0,760,0.024,0.0,0.2605042014617612,1400
SPACA1,ENSG00000118434,-9.966,-9.966,0.0,247,0.005,0.0,0.2605042014617612,1401
OR5B2,ENSG00000172365,-9.966,-9.966,0.0,234,0.001,0.0,0.2605042014617612,1402
OR10K2,ENSG00000180708,-9.966,-9.966,0.0,17,0.0,0.0,0.2605042014617612,1403
OR5AK3P,ENSG00000181282,-9.966,-9.966,0.0,108,0.0,0.0,0.2605042014617612,1404
GPR101,ENSG00000165370,-9.966,-9.966,0.0,408,0.002,0.0,0.2605042014617612,1405
OR1J4,ENSG00000239590,-9.966,-9.966,0.0,328,0.001,0.0,0.2605042014617612,1406
OR8A1,ENSG00000196119,-9.966,-9.966,0.0,215,0.002,0.0,0.2605042014617612,1407
GPR156,ENSG00000175697,-2.727,-2.727,0.0,4420,0.125,0.0,0.2605042014617612,1408
OR4K1,ENSG00000155249,-9.966,-9.966,0.0,66,0.0,0.0,0.2605042014617612,1409
CCKAR,ENSG00000163394,-9.966,-9.966,0.0,889,0.02,0.0,0.2605042014617612,1410
HTR1A,ENSG00000178394,-9.966,-9.966,0.0,732,0.02,0.0,0.2605042014617612,1411
OR5AU1,ENSG00000169327,-9.966,-9.966,0.0,47,0.001,0.0,0.2605042014617612,1412
OR14A2,ENSG00000241128,-9.966,-9.966,0.0,162,0.001,0.0,0.2605042014617612,1413
OR2T3,ENSG00000196539,-9.966,-9.966,0.0,141,0.0,0.0,0.2605042014617612,1414
OR4D1,ENSG00000141194,-9.966,-9.966,0.0,82,0.0,0.0,0.2605042014617612,1415
OR5D13,ENSG00000279761,-9.966,-9.966,0.0,3,0.0,0.0,0.2605042014617612,1416
OR13C3,ENSG00000204246,-9.966,-9.966,0.0,84,0.0,0.0,0.2605042014617612,1417
OR2A12,ENSG00000221858,-9.966,-9.966,0.0,45,0.0,0.0,0.2605042014617612,1418
NRG1,ENSG00000157168,0.402,0.423,-0.02,6552,0.558,-0.0,0.2605042014617612,1419
SIGLECL1,ENSG00000179213,-9.966,-9.966,0.0,355,0.002,0.0,0.2605042014617612,1420
GPRC6A,ENSG00000173612,-9.966,-9.966,0.0,124,0.011,0.0,0.2605042014617612,1421
ADAM18,ENSG00000168619,-9.966,-9.966,0.0,306,0.026,0.0,0.2605042014617612,1422
OR2F1,ENSG00000213215,-9.966,-9.966,0.0,84,0.0,0.0,0.2605042014617612,1423
GABRR1,ENSG00000146276,-5.574,-5.574,0.0,1292,0.091,0.0,0.2605042014617612,1424
OR7D4,ENSG00000174667,-9.966,-9.966,0.0,97,0.0,0.0,0.2605042014617612,1425
OR2T1,ENSG00000175143,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1426
SLC10A2,ENSG00000125255,-9.966,-9.966,0.0,237,0.051,0.0,0.2605042014617612,1427
SLC24A5,ENSG00000188467,-9.966,-9.966,0.0,1333,0.024,0.0,0.2605042014617612,1428
OR14I1,ENSG00000189181,-9.966,-9.966,0.0,705,0.007,0.0,0.2605042014617612,1429
OR14A16,ENSG00000196772,-9.966,-9.966,0.0,167,0.0,0.0,0.2605042014617612,1430
TAS2R7,ENSG00000121377,-9.966,-9.966,0.0,42,0.0,0.0,0.2605042014617612,1431
GPR32P1,ENSG00000269565,-9.966,-9.966,0.0,34,0.0,0.0,0.2605042014617612,1432
OR1F2P,ENSG00000203581,-9.966,-9.966,0.0,654,0.0,0.0,0.2605042014617612,1433
TAS1R2,ENSG00000179002,-9.966,-9.966,0.0,167,0.0,0.0,0.2605042014617612,1434
OR2G6,ENSG00000188558,-9.966,-9.966,0.0,190,0.001,0.0,0.2605042014617612,1435
OR2C1,ENSG00000168158,-5.012,-5.012,0.0,1079,0.001,0.0,0.2605042014617612,1436
OR8J3,ENSG00000167822,-9.966,-9.966,0.0,9,0.0,0.0,0.2605042014617612,1437
ADRB3,ENSG00000188778,-5.574,-5.574,0.0,1947,0.016,0.0,0.2605042014617612,1438
OR11H12,ENSG00000257115,-9.966,-9.966,0.0,59,0.0,0.0,0.2605042014617612,1439
GABRR2,ENSG00000111886,-3.308,-1.283,-2.02,6555,0.013,-0.0,0.2605042014617612,1440
OR4F4,ENSG00000177693,-9.966,-9.966,0.0,79,0.0,0.0,0.2605042014617612,1441
OR5I1,ENSG00000167825,-9.966,-9.966,0.0,2,0.0,0.0,0.2605042014617612,1442
OR5P2,ENSG00000183303,-9.966,-9.966,0.0,412,0.0,0.0,0.2605042014617612,1443
OR10H5,ENSG00000172519,-9.966,-9.966,0.0,73,0.001,0.0,0.2605042014617612,1444
GLP1R,ENSG00000112164,-5.012,-5.012,0.0,2010,0.058,0.0,0.2605042014617612,1445
DSG3,ENSG00000134757,-4.608,-4.608,0.0,1835,0.278,0.0,0.2605042014617612,1446
OR1A2,ENSG00000172150,-9.966,-9.966,0.0,19,0.0,0.0,0.2605042014617612,1447
CLEC9A,ENSG00000197992,-2.315,-2.548,0.23,4296,0.141,0.0,0.2605042014617612,1448
CD200,ENSG00000091972,2.787,2.772,0.01,7598,0.94,0.0,0.2605042014617612,1449
UMOD,ENSG00000169344,-9.966,-9.966,0.0,888,0.029,0.0,0.2605042014617612,1450
OR5AL1,ENSG00000272987,-9.966,-9.966,0.0,1,0.0,0.0,0.2605042014617612,1451
OR13A1,ENSG00000256574,-4.608,-4.293,-0.31,2104,0.033,-0.0,0.2605042014617612,1452
OR5J2,ENSG00000174957,-9.966,-9.966,0.0,30,0.0,0.0,0.2605042014617612,1453
OPN1MW,ENSG00000268221,-9.966,-9.966,0.0,214,0.0,0.0,0.2605042014617612,1454
OR1D5,ENSG00000262628,-9.966,-9.966,0.0,47,0.0,0.0,0.2605042014617612,1455
MRGPRX3,ENSG00000179826,-9.966,-9.966,0.0,663,0.053,0.0,0.2605042014617612,1456
HTR1F,ENSG00000179097,-4.035,-3.626,-0.41,2837,0.027,-0.0,0.2605042014617612,1457
OR2D2,ENSG00000166368,-9.966,-9.966,0.0,148,0.0,0.0,0.2605042014617612,1458
OR2T27,ENSG00000187701,-9.966,-9.966,0.0,63,0.0,0.0,0.2605042014617612,1459
ADAM7,ENSG00000069206,-9.966,-9.966,0.0,208,0.014,0.0,0.2605042014617612,1460
OR56B4,ENSG00000180919,-5.574,-9.966,4.39,576,0.001,0.0,0.2605042014617612,1461
SIGLEC1,ENSG00000088827,1.015,1.015,0.0,7110,0.71,0.0,0.2605042014617612,1462
GPR55,ENSG00000135898,-2.826,-3.171,0.35,3513,0.048,0.0,0.2605042014617612,1463
AGTR2,ENSG00000180772,-9.966,-9.966,0.0,876,0.044,0.0,0.2605042014617612,1464
SLCO1B7,ENSG00000205754,-9.966,-9.966,0.0,424,0.018,0.0,0.2605042014617612,1465
HTR3C,ENSG00000178084,-9.966,-9.966,0.0,634,0.006,0.0,0.2605042014617612,1466
PKDREJ,ENSG00000130943,-4.035,-3.626,-0.41,2575,0.001,-0.0,0.2605042014617612,1467
EPGN,ENSG00000182585,-4.608,-4.608,0.0,2378,0.141,0.0,0.2605042014617612,1468
CACNG3,ENSG00000006116,-9.966,-9.966,0.0,1308,0.047,0.0,0.2605042014617612,1469
OR52N5,ENSG00000181009,-9.966,-9.966,0.0,196,0.0,0.0,0.2605042014617612,1470
OR2W1,ENSG00000204704,-9.966,-9.966,0.0,137,0.0,0.0,0.2605042014617612,1471
ERVFRD-1,ENSG00000244476,-5.012,-4.035,-0.98,2709,0.013,-0.0,0.2605042014617612,1472
OR10G4,ENSG00000254737,-9.966,-9.966,0.0,205,0.0,0.0,0.2605042014617612,1473
OR56A1,ENSG00000180934,-9.966,-9.966,0.0,142,0.0,0.0,0.2605042014617612,1474
SLC6A18,ENSG00000164363,-9.966,-9.966,0.0,76,0.038,0.0,0.2605042014617612,1475
OR5T3,ENSG00000172489,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1476
OR5F1,ENSG00000149133,-9.966,-9.966,0.0,4,0.0,0.0,0.2605042014617612,1477
OR5M10,ENSG00000254834,-9.966,-9.966,0.0,37,0.0,0.0,0.2605042014617612,1478
OR8G1,ENSG00000197849,-9.966,-9.966,0.0,163,0.0,0.0,0.2605042014617612,1479
OR4F5,ENSG00000186092,-9.966,-9.966,0.0,91,0.0,0.0,0.2605042014617612,1480
OR7G1,ENSG00000161807,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1481
OR5D14,ENSG00000186113,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1482
GLRA3,ENSG00000145451,-6.506,-6.506,0.0,1370,0.071,0.0,0.2605042014617612,1483
OR10G9,ENSG00000236981,-9.966,-9.966,0.0,27,0.0,0.0,0.2605042014617612,1484
SLC2A7,ENSG00000197241,-9.966,-9.966,0.0,249,0.0,0.0,0.2605042014617612,1485
OR4Q2,ENSG00000196383,-9.966,-9.966,0.0,1,0.0,0.0,0.2605042014617612,1486
OR4F6,ENSG00000184140,-9.966,-9.966,0.0,31,0.0,0.0,0.2605042014617612,1487
OR10W1,ENSG00000172772,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1488
TLR9,ENSG00000239732,-3.458,-1.781,-1.68,5866,0.014,-0.0,0.2605042014617612,1489
GP1BA,ENSG00000185245,-1.732,-1.392,-0.34,6859,0.121,-0.0,0.2605042014617612,1490
ALK,ENSG00000171094,-3.308,-3.171,-0.14,3793,0.132,-0.0,0.2605042014617612,1491
OR5AC2,ENSG00000196578,-9.966,-9.966,0.0,56,0.0,0.0,0.2605042014617612,1492
OR6Q1,ENSG00000279051,-9.966,-9.966,0.0,0,0.0,0.0,0.2605042014617612,1493
GJD2,ENSG00000159248,-9.966,-9.966,0.0,1517,0.05,0.0,0.2605042014617612,1494
FAT2,ENSG00000086570,-2.727,-2.826,0.1,4114,0.318,0.0,0.2605042014617612,1495
HTR3B,ENSG00000149305,-9.966,-9.966,0.0,877,0.011,0.0,0.2605042014617612,1496
OR1J2,ENSG00000197233,-9.966,-9.966,0.0,262,0.0,0.0,0.2605042014617612,1497
ABCB5,ENSG00000004846,-5.574,-5.012,-0.56,2561,0.044,-0.0,0.2605042014617612,1498
LPAR4,ENSG00000147145,-2.932,-2.727,-0.21,4440,0.083,-0.0,0.2605042014617612,1499
OR2V1,ENSG00000185372,-9.966,-9.966,0.0,172,0.002,0.0,0.2605042014617612,1500
OR2H1,ENSG00000204688,-9.966,-9.966,0.0,242,0.001,0.0,0.2605042014617612,1501
TRPV6,ENSG00000165125,-1.117,-1.214,0.1,5710,0.375,0.0,0.2605042014617612,1502
OR5K4,ENSG00000196098,-9.966,-9.966,0.0,46,0.0,0.0,0.2605042014617612,1503
OR5G3,ENSG00000241356,-9.966,-9.966,0.0,198,0.002,0.0,0.2605042014617612,1504
ART1,ENSG00000129744,-9.966,-9.966,0.0,1133,0.009,0.0,0.2605042014617612,1505
OR1L8,ENSG00000171496,-5.012,-3.816,-1.2,2719,0.005,-0.0,0.2605042014617612,1506
OR11H2,ENSG00000258453,-9.966,-9.966,0.0,44,0.0,0.0,0.2605042014617612,1507
KCNV2,ENSG00000168263,-5.574,-3.816,-1.76,2297,0.012,-0.0,0.2605042014617612,1508
SLC26A8,ENSG00000112053,-3.626,-2.826,-0.8,4341,0.022,-0.0,0.2605042014617612,1509
LY6G6F,ENSG00000204424,-9.966,-9.966,0.0,1010,0.0,0.0,0.2605042014617612,1510
OR2T33,ENSG00000177212,-9.966,-9.966,0.0,1006,0.001,0.0,0.2605042014617612,1511
OR51M1,ENSG00000184698,-9.966,-9.966,0.0,54,0.0,0.0,0.2605042014617612,1512
SLC6A5,ENSG00000165970,-9.966,-9.966,0.0,554,0.005,0.0,0.2605042014617612,1513
GPR50,ENSG00000102195,-9.966,-9.966,0.0,355,0.043,0.0,0.2605042014617612,1514
TMEM95,ENSG00000182896,-9.966,-9.966,0.0,345,0.0,0.0,0.2605042014617612,1515
OR10G7,ENSG00000182634,-9.966,-9.966,0.0,25,0.0,0.0,0.2605042014617612,1516
MEP1B,ENSG00000141434,-6.506,-5.574,-0.93,976,0.016,-0.0,0.2605042014617612,1517
OR6K6,ENSG00000180433,-9.966,-9.966,0.0,11,0.0,0.0,0.2605042014617612,1518
OR2G2,ENSG00000177489,-9.966,-9.966,0.0,39,0.0,0.0,0.2605042014617612,1519
OR8D4,ENSG00000181518,-9.966,-9.966,0.0,75,0.0,0.0,0.2605042014617612,1520
OR2A25,ENSG00000221933,-9.966,-9.966,0.0,206,0.0,0.0,0.2605042014617612,1521
VN1R2,ENSG00000196131,-9.966,-9.966,0.0,297,0.0,0.0,0.2605042014617612,1522
CD33,ENSG00000105383,1.434,1.46,-0.03,7568,0.816,-0.0,0.2605042014617612,1523
FGFRL1,ENSG00000127418,3.756,3.767,-0.01,7820,0.973,-0.0,0.2605042014617612,1524
OR11L1,ENSG00000197591,-9.966,-9.966,0.0,223,0.0,0.0,0.2605042014617612,1525
OR10J4,ENSG00000249730,-9.966,-9.966,0.0,6,0.0,0.0,0.2605042014617612,1526
OR6C6,ENSG00000188324,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1527
HTR1E,ENSG00000168830,-9.966,-9.966,0.0,1986,0.023,0.0,0.2605042014617612,1528
SDC2,ENSG00000169439,5.157,5.201,-0.04,7796,0.992,-0.0,0.2605042014617612,1529
CDH24,ENSG00000139880,1.923,1.953,-0.03,7655,0.933,-0.0,0.2605042014617612,1530
DSG4,ENSG00000175065,-9.966,-9.966,0.0,674,0.012,0.0,0.2605042014617612,1531
VN1R4,ENSG00000228567,-9.966,-9.966,0.0,140,0.0,0.0,0.2605042014617612,1532
OR5D16,ENSG00000205029,-9.966,-9.966,0.0,9,0.0,0.0,0.2605042014617612,1533
OR2M3,ENSG00000228198,-9.966,-9.966,0.0,65,0.0,0.0,0.2605042014617612,1534
SLC9A6,ENSG00000198689,2.549,2.549,0.0,7823,0.984,0.0,0.2605042014617612,1535
OR1Q1,ENSG00000165202,-9.966,-9.966,0.0,668,0.001,0.0,0.2605042014617612,1536
OR10J3,ENSG00000196266,-9.966,-9.966,0.0,116,0.0,0.0,0.2605042014617612,1537
OR1C1,ENSG00000221888,-9.966,-9.966,0.0,257,0.0,0.0,0.2605042014617612,1538
KCNMB2,ENSG00000275163,-9.966,-9.966,0.0,253,0.007,0.0,0.2605042014617612,1539
OR10P1,ENSG00000175398,-9.966,-9.966,0.0,196,0.0,0.0,0.2605042014617612,1540
SLC13A3,ENSG00000158296,0.576,0.517,0.06,7321,0.624,0.0,0.2605042014617612,1541
LRIT1,ENSG00000148602,-9.966,-9.966,0.0,172,0.0,0.0,0.2605042014617612,1542
IGSF5,ENSG00000183067,-3.308,-3.308,0.0,3474,0.137,0.0,0.2605042014617612,1543
OR8K3,ENSG00000280314,-9.966,-9.966,0.0,1,0.0,0.0,0.2605042014617612,1544
GPR149,ENSG00000174948,-9.966,-9.966,0.0,709,0.011,0.0,0.2605042014617612,1545
GUCY2C,ENSG00000070019,-4.608,-4.608,0.0,1286,0.105,0.0,0.2605042014617612,1546
SLC4A10,ENSG00000144290,-5.012,-5.012,0.0,2264,0.085,0.0,0.2605042014617612,1547
SPPL2C,ENSG00000185294,-9.966,-9.966,0.0,815,0.0,0.0,0.2605042014617612,1548
KIR2DS4,ENSG00000221957,-5.012,-5.574,0.56,1331,0.016,0.0,0.2605042014617612,1549
OR10G6,ENSG00000198674,-9.966,-9.966,0.0,31,0.0,0.0,0.2605042014617612,1550
OR2AE1,ENSG00000244623,-9.966,-9.966,0.0,758,0.0,0.0,0.2605042014617612,1551
OR4E1,ENSG00000276240,-9.966,-9.966,0.0,39,0.0,0.0,0.2605042014617612,1552
OR7G3,ENSG00000170920,-9.966,-9.966,0.0,36,0.001,0.0,0.2605042014617612,1553
TARM1,ENSG00000248385,-9.966,-9.966,0.0,488,0.001,0.0,0.2605042014617612,1554
KIR3DL1,ENSG00000167633,-5.012,-5.012,0.0,1315,0.007,0.0,0.2605042014617612,1555
VSIG2,ENSG00000019102,0.455,0.455,0.0,7624,0.535,0.0,0.2605042014617612,1556
OR2T10,ENSG00000184022,-9.966,-9.966,0.0,216,0.024,0.0,0.2605042014617612,1557
OR52R1,ENSG00000279270,-9.966,-9.966,0.0,16,0.0,0.0,0.2605042014617612,1558
OR8D1,ENSG00000196341,-9.966,-9.966,0.0,198,0.001,0.0,0.2605042014617612,1559
OR6N2,ENSG00000188340,-9.966,-9.966,0.0,18,0.0,0.0,0.2605042014617612,1560
LYPD4,ENSG00000273111,-9.966,-9.966,0.0,310,0.002,0.0,0.2605042014617612,1561
OR2M4,ENSG00000171180,-9.966,-9.966,0.0,141,0.0,0.0,0.2605042014617612,1562
CHRNA7,ENSG00000175344,-1.49,-1.392,-0.1,6164,0.247,-0.0,0.2605042014617612,1563
AQP2,ENSG00000167580,-6.506,-6.506,0.0,1234,0.042,0.0,0.2605042014617612,1564
OR2AT4,ENSG00000171561,-9.966,-9.966,0.0,211,0.0,0.0,0.2605042014617612,1565
UPK1A,ENSG00000105668,-3.458,-3.458,0.0,3293,0.162,0.0,0.2605042014617612,1566
OR52N2,ENSG00000180988,-9.966,-9.966,0.0,911,0.005,0.0,0.2605042014617612,1567
OR52N4,ENSG00000181074,-4.608,-2.388,-2.22,4854,0.013,-0.0,0.2605042014617612,1568
CD200R1L,ENSG00000206531,-9.966,-9.966,0.0,214,0.0,0.0,0.2605042014617612,1569
OR5D18,ENSG00000186119,-9.966,-9.966,0.0,41,0.0,0.0,0.2605042014617612,1570
PTPRG,ENSG00000144724,2.735,2.701,0.03,7424,0.951,0.0,0.2605042014617612,1571
RXFP3,ENSG00000182631,-9.966,-9.966,0.0,188,0.005,0.0,0.2605042014617612,1572
OR4C45,ENSG00000260811,-9.966,-9.966,0.0,1,0.0,0.0,0.2605042014617612,1573
HTR2C,ENSG00000147246,-9.966,-9.966,0.0,1114,0.055,0.0,0.2605042014617612,1574
OR51L1,ENSG00000176798,-9.966,-9.966,0.0,11,0.0,0.0,0.2605042014617612,1575
OR10V1,ENSG00000172289,-9.966,-9.966,0.0,60,0.0,0.0,0.2605042014617612,1576
OR2AG1,ENSG00000279486,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1577
ENTPD3,ENSG00000168032,0.276,0.288,-0.01,6667,0.529,-0.0,0.2605042014617612,1578
OR7A2P,ENSG00000172148,-9.966,-9.966,0.0,11,0.0,0.0,0.2605042014617612,1579
OR13C2,ENSG00000276119,-9.966,-9.966,0.0,382,0.0,0.0,0.2605042014617612,1580
OR12D3,ENSG00000112462,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1581
OR4M1,ENSG00000176299,-9.966,-9.966,0.0,166,0.0,0.0,0.2605042014617612,1582
DISP1,ENSG00000154309,1.351,1.374,-0.02,7601,0.853,-0.0,0.2605042014617612,1583
IZUMO1R,ENSG00000183560,-9.966,-9.966,0.0,1003,0.01,0.0,0.2605042014617612,1584
OR4Q3,ENSG00000182652,-9.966,-9.966,0.0,58,0.0,0.0,0.2605042014617612,1585
EMP1,ENSG00000134531,5.77,5.813,-0.04,7814,0.999,-0.0,0.2605042014617612,1586
OR4F17,ENSG00000176695,-9.966,-9.966,0.0,283,0.001,0.0,0.2605042014617612,1587
ADAM2,ENSG00000104755,-9.966,-9.966,0.0,295,0.044,0.0,0.2605042014617612,1588
TAS2R9,ENSG00000121381,-9.966,-9.966,0.0,50,0.0,0.0,0.2605042014617612,1589
MDGA2,ENSG00000139915,-6.506,-6.506,0.0,1770,0.084,0.0,0.2605042014617612,1590
OR52I2,ENSG00000226288,-9.966,-9.966,0.0,59,0.0,0.0,0.2605042014617612,1591
OR4M2,ENSG00000274102,-9.966,-9.966,0.0,145,0.0,0.0,0.2605042014617612,1592
OR56B1,ENSG00000181023,-9.966,-9.966,0.0,865,0.0,0.0,0.2605042014617612,1593
OR2K2,ENSG00000171133,-9.966,-9.966,0.0,1225,0.0,0.0,0.2605042014617612,1594
TAAR9,ENSG00000237110,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1595
CATSPERD,ENSG00000174898,-9.966,-9.966,0.0,1065,0.042,0.0,0.2605042014617612,1596
OPN1SW,ENSG00000128617,-3.458,-3.171,-0.29,3663,0.011,-0.0,0.2605042014617612,1597
MUC17,ENSG00000169876,-9.966,-9.966,0.0,485,0.082,0.0,0.2605042014617612,1598
MYADML2,ENSG00000185105,-4.608,-4.293,-0.31,2624,0.047,-0.0,0.2605042014617612,1599
PCDHGA8,ENSG00000253767,-3.626,-3.171,-0.45,3703,0.023,-0.0,0.2605042014617612,1600
OR13C8,ENSG00000186943,-9.966,-9.966,0.0,12,0.0,0.0,0.2605042014617612,1601
OR51A7,ENSG00000176895,-9.966,-9.966,0.0,93,0.0,0.0,0.2605042014617612,1602
OR4D5,ENSG00000171014,-9.966,-9.966,0.0,71,0.0,0.0,0.2605042014617612,1603
OR4C13,ENSG00000258817,-9.966,-9.966,0.0,7,0.0,0.0,0.2605042014617612,1604
GPR32,ENSG00000142511,-9.966,-9.966,0.0,78,0.002,0.0,0.2605042014617612,1605
NCR2,ENSG00000096264,-9.966,-9.966,0.0,193,0.003,0.0,0.2605042014617612,1606
OR6N1,ENSG00000197403,-9.966,-9.966,0.0,84,0.0,0.0,0.2605042014617612,1607
TM4SF5,ENSG00000142484,-9.966,-9.966,0.0,953,0.252,0.0,0.2605042014617612,1608
OR3A3,ENSG00000159961,-9.966,-9.966,0.0,872,0.002,0.0,0.2605042014617612,1609
CACNG5,ENSG00000075429,-9.966,-9.966,0.0,871,0.015,0.0,0.2605042014617612,1610
OR8B8,ENSG00000197125,-9.966,-9.966,0.0,12,0.0,0.0,0.2605042014617612,1611
OR11H4,ENSG00000176198,-9.966,-9.966,0.0,184,0.002,0.0,0.2605042014617612,1612
